,author_id,id,created_at,text
12,391151255,1227396851617411072,2020-02-12T00:59:48.000Z,Typical #CCPChina Chinese Communist Party behaviour. https://t.co/r4Gmysr3fq
13,98207032,1239943808881655808,2020-03-17T15:56:55.000Z,@PrisonPlanet China should learn to contain the viruses it unleashes on the rest of the world #wuhanvirus #chinesevirus #coronavirus #blamechina #blametheCCP
14,1230563683698241539,1238442595069702146,2020-03-13T12:31:38.000Z,China should be eradicated from existence. Bomb the chinks
15,2990624796,1240073578474696704,2020-03-18T00:32:35.000Z,"#China's #CCP/#Chinese Communist Party, fills detention camps with a million #UighurMuslims. CCP mouthpiece Xinhau News claims Pres. #Trump saying #ChineseVirus instead of #Covid_19 is racist—&amp; some #liberals AGREE with #CommunistChina over #POTUS! #Dems forgot #TiananmenSquare?! https://t.co/YeMx6Y4jqd"
16,1165843165225484288,1228126938058805254,2020-02-14T01:20:54.000Z,"@RepTimmons @chanfong985 CCP is the most biggest thief in the world.
#antiChinazi #China_is_terrorists 
https://t.co/uNSwlFekm6 https://t.co/1iz1N28tCM"
17,1151470195493314560,1245387525113274370,2020-04-01T16:28:18.000Z,"@Liz_Wheeler Actually it is the time to change the name of WHO to #CHO. 

#WuhanVirus is not natural disaster, but it is produced from authoritarianism. China CCP hides the fact of the virus and WHO tells us believe China...That's why it spread across the world...

#ChinaLiedPeopleDied"
18,1151470195493314560,1245387546743328768,2020-04-01T16:28:23.000Z,"Actually it is the time to change the name of WHO to #CHO. 

#WuhanVirus is not natural disaster, but it is produced from authoritarianism. China CCP hides the fact of the virus and WHO tells us believe China...That's why it spread across the world...

#ChinaLiedPeopleDied https://t.co/emlxvqP1JC"
19,2425894915,1244980828083384320,2020-03-31T13:32:14.000Z,@JakeSherman Why don’t you hit the the Communists in China that did this to us Jake?  #Chinese Communist Party #ChinaVirus
20,1424383484,1250641900941578247,2020-04-16T04:27:19.000Z,"5/  Finally, on 1/20/20, CCP leader Xi Jinping admits for the first time that #ChineseWuhanVirus exists, without warning against human-to-human contact.   At this time, #ChinaLiedPeopleDied CCP continues to repeat the lie that #WuhanVirus was spread by a bat at a farmers market. https://t.co/5TkxJtS9DM"
21,766928989034319872,1247568894962872333,2020-04-07T16:56:17.000Z,@statedeptspox This is distant dream to expect transparency from Chinese communist government morons.. China must be held accountable for spreading Chinese virus.. China must pay for this.. @zlj517 #ChinaLiedPeopleDied #ChineseVirus #CCPVirus #ChinaMustPay
22,1088791406703976449,1244294522936397831,2020-03-29T16:05:06.000Z,@PresOfPakistan @zlj517 Fuck #CCP they spread #WuhanVirus
23,1162609558050631680,1248072351423459330,2020-04-09T02:16:51.000Z,@anderscorr 😣 please don't trust #China anymore. All health workers are in danger. This evil is not god to safe the world. 😟 #WuhanVirus #ChineseVirus #CCPVirus #ChinaLiedPeopleDied #COVID19 #China_is_terrorist https://t.co/4q7hjM14J2
24,1169155126449201152,1249655250744532997,2020-04-13T11:06:43.000Z,"@Oliviacw000 @icydaizy1 Chinese virus is already killing people around the world. Now go search Tiananmen massacre 1989, Wuhan virus, Uyghur, Hong Kong protesters, Winnie the Pooh, Xi Jinping president for life, prostitution in China, communist party corruption, Falun Gong, Mao’s Chinese Great Famine"
25,1135639854589628416,1245780165369761795,2020-04-02T18:28:31.000Z,"Even the Chinese people know that CCP created &amp; dispersed the #CCPVirus on the world God bless the Chinese people who have to live under tyranny. CCP did this to try to obtain global power
#ChinaLiedPeopleDied 
A day will come nations will find out that germ warfare was released https://t.co/pTSBVSKoCI"
26,82280653,1241976161749454850,2020-03-23T06:32:46.000Z,"@WellingMichael #CCPVirus
Watching this video, I also cried.
The Communist Party of China must bear responsibility and pay for the #CCPVirus it makes.😭"
27,1237393951658627075,1240673395949346822,2020-03-19T16:16:02.000Z,"China SARS and China Wuhan virus give a tremendous pains to the World. China, Don't eat bat again."
28,885566995084824577,1242163921038999557,2020-03-23T18:58:51.000Z,"@RoyWang59889462 @FirstGenImmig @Lrihendry @realDonaldTrump Don't repeat words from #CCP, China Communist Party, it's propaganda. The virus really is from #WuhanCoronavirus #ChinaVirus

https://t.co/XcCw1plumu"
29,1217801658912010241,1227526690416447490,2020-02-12T09:35:43.000Z,"This is typical Chinese Govt and CCP ""Criminal Communist's Party"" mentality to deal with animals and Human beings alike.

They don't differenciate animals and Human beings to deal for Corona Virus https://t.co/dQITJF50Zl"
30,186486282,1226407513949528065,2020-02-09T07:28:31.000Z,"Whether it is pangolin or bat or some other animal, eating habits of Chinese are supposed to make humans vulnerable to diseases taken from wild animal pool (i.e. through #zoonosis).
#Corona https://t.co/kItMEfhIOJ"
31,1116410176452489216,1249081879015198720,2020-04-11T21:08:21.000Z,"@AJENews Thank #China for the gift of #ChineseVirus. 

#BoycottChina #CCPVirus #WuhanVirus #ChinaLiedPeopleDied https://t.co/wiDZoGIdt6"
32,1938817226,1249697755292975105,2020-04-13T13:55:37.000Z,"@realDonaldTrump Until China stopped eating crazy food like pangolins, bats and civet cats, they should not be allowed in our country spreading viruses to Americans!
@Mike_Pence @SenTedCruz
#keepAmericaSafe #NoBatEatingAllowed"
33,1158391246915682304,1250483748451127296,2020-04-15T17:58:53.000Z,"@evenmottob @ChanCentury #CCPVirus #ChinaLiedPeopleDied  I'm Chinese, NOT communist! Free HK! Free China!"
0,1240435168524906496,1247713829074743297,2020-04-08T02:32:12.000Z,"@Pinochetiscool @eugenegu @realDonaldTrump I do think Gu is a CCP agent, to protect china communist party and their close associates by spreading misinformation. He should be arrested immediately #ChinaLiedPeopleDied #CCPVirus"
1,1183236877010251776,1242920967841685504,2020-03-25T21:07:05.000Z,"@sapnamodgil The correct term is the #CCPVirus. The Chinese Communist Party which rules China via dictatorship, has been incompetent in handling the #CCPVirus and even worse, the CCP suppressed and prosecuted the Chinese doctors and civilians who tried to share information and warn the world."
2,1162298297094156288,1249861997937569792,2020-04-14T00:48:16.000Z,"@XHNews The poll is Chinese immigrants?  #NeverForget what #China has done to the world. #BoycottChina 
#ChinaLiedPeopleDied 
#WuhanVirus 
#CCPVirus 
#ChinaVirus 
#ChinaMustPay https://t.co/DPYQaFqBfm"
3,378016027,1245290988815282182,2020-04-01T10:04:42.000Z,"My analysis on #ChinaVirus #CCPVirus #WuhanVirus on @NationalistHub by @sai_nationalist

It is the people's actions that can impact #China 's behaviour. Govts cannot ignore China so easily. Chinese Communist party has to be brought to justice by the world

https://t.co/tYQCAdsEH5"
4,3161819040,1223150694850383873,2020-01-31T07:47:05.000Z,"China should stop every animals alive,they pinch,skin,boil,bbq,have raw live animals alive.Disgusting."
5,1180531204006780928,1241244807051333632,2020-03-21T06:06:37.000Z,HaHa! 😂 Yeah Chinese Wuhan virus should be the end of communism .China virus should be the end of barbarism .China coronavirus should be the end of lies and Chinese Communist Party China .Chinese Communist Party is terrorist . https://t.co/ZkTy5XsuCz
6,869421958479400960,1242235715632726016,2020-03-23T23:44:08.000Z,@SenHawleyPress #CCPvirus. It was the Chinese Communist Party who made the virus in Wuhan P4 lab as a biochemical weapon and spread around the world on purpose. Millions of Chinese have been infected and killed. CCP is an evil organization responsible for this crime. #CCPvirus https://t.co/DH3dZz6Kbo
